id,category_id,name,description,banner_url
DG,3,Death Guard,"The Death Guard, putrid champions of Nurgle, are resilient and decay-ridden, spreading plagues with relentless determination. Clad in foul armor, they endure all, embodying the grotesque resilience of decay and pestilence in their relentless march.",https://placehold.co/600x400
CHDW,1,Deathwatch,"The Deathwatch, elite xenos hunters, unite warriors from diverse chapters. Wearing unique black and silver, they stand vigilant, specializing in combating alien threats with unparalleled expertise and unity.",https://placehold.co/600x400
DRU,4,Drukhari,"The Drukhari, sadistic raiders of Commorragh, revel in cruelty and speed. Clad in dark elegance, they strike swiftly, feeding on pain to sustain their twisted existence while plundering the galaxy for slaves and torment.",https://placehold.co/600x400
GC,4,Genestealer Cult,"The Genestealer Cults, insidious infiltrators, sow rebellion in shadows. Clad in underground fervor, they worship the alien, striving to bring about the ascension of their Tyranid masters with covert cunning and unholy devotion.",https://placehold.co/600x400
GK,1,Grey Knights,"The Grey Knights, holy and incorruptible, wield psychic might against daemonic horrors. Clad in silver armor, theyre the Emperors chosen, defenders against the tides of Chaos with unwavering purity and unmatched psychic prowess.",https://placehold.co/600x400
CHIF,1,Imperial Fists,"The Imperial Fists, unyielding bulwark of the Imperium, bear resilience and precision. Clad in yellow, they defend with stoic determination, masters of siege warfare and unbreakable resolve in the Emperors name.",https://placehold.co/600x400
QI,2,Imperial Knights,"The Imperial Knights, towering war engines, stride with noble might. Clad in adamantium, theyre avatars of honor, defending the Imperium with colossal power and unbreakable loyalty.",https://placehold.co/600x400
CHIH,1,Iron Hands,"The Iron Hands, cold and unyielding, fuse flesh and machine for strength. Clad in bionics, they seek perfection through steel, embodying resilience and unwavering determination in their pursuit of technological supremacy.",https://placehold.co/600x400
LoV,4,Leagues of Votann,"The League of Votann, enigmatic and arcane, harness ancient powers and forbidden knowledge. Clad in esoteric armor, they navigate the shadows, wielding mystical prowess and cryptic technology with inscrutable purpose.",https://placehold.co/600x400
NEC,4,Necrons,"The Necrons, ancient metallic phalanxes, awaken with sinister purpose. Clad in living metal, they march as undying legions, seeking dominion over a galaxy they once ruled, wielding eerie technology and unyielding immortality.",https://placehold.co/600x400
ORK,4,Orks,"Da Orks, rowdy and brutal, crave endless war and smashing fights. Clad in ramshackle armor, dey romp da galaxy, teef and choppas ready, spreading mayhem wiv their love for a good scrap!",https://placehold.co/600x400
CHRG,1,Raven Guard,"The Raven Guard, masters of stealth and swift strikes, embrace shadows in their relentless pursuit. Clad in somber hues, they strike swiftly, employing guerrilla tactics and lightning assaults to outmaneuver their foes with lethal precision.",https://placehold.co/600x400
CHSA,1,Salamanders,"The Salamanders, noble artisans of fire, wield strength and compassion. Clad in green, they protect humanity with unmatched bravery, embodying resilience and unwavering dedication to defending the weak.",https://placehold.co/600x400
CHSW,1,Space Wolves,"The Space Wolves, fierce warriors of Fenris, embrace savage might and brotherhood. Clad in rugged armor, they howl into battle, embodying ferocity and loyalty, unleashing the fury of their wolfish spirit upon their foes.",https://placehold.co/600x400
TAU,4,Tau Empire,"The Tau Empire, seekers of unity, wield advanced technology and diplomacy. Clad in sleek battlesuits, they strive for the Greater Good, blending innovation and cooperation to bring order amidst a chaotic universe.",https://placehold.co/600x400
TS,3,Thousand Sons,"The Thousand Sons, sorcerous masters of Tzeentch, wield arcane powers cursed by mutation. Clad in intricate armor, they seek forbidden knowledge, their minds teeming with eldritch might and the burden of ancient spells gone awry.",https://placehold.co/600x400
TYR,4,Tyranids,"The Tyranids, cosmic predators, swarm as a devouring force. Clad in bio-organic might, they hunger for consumption, an unrelenting horde moving to strip worlds bare, evolving and adapting in an unending quest for sustenance.",https://placehold.co/600x400
CHUL,1,Ultramarines,"The Ultramarines, epitome of noble Astartes, embody honor and tactical prowess. Clad in iconic blue armor, they stand stalwart, defending humanity with strategic brilliance and unwavering loyalty to the Imperiums ideals.",https://placehold.co/600x400
CHWS,1,White Scars,"The White Scars, swift and nomadic warriors, ride into battle with lightning speed. Clad in white and blue, they master hit-and-run tactics, embodying speed and precision as they swiftly strike their enemies, leaving chaos in their wake.",https://placehold.co/600x400
WE,3,World Eaters,"The World Eaters, berserkers of Khorne, revel in unbridled savagery. Clad in bloodied armor, they charge into battle with feral ferocity, driven by an insatiable thirst for carnage and the glory of unrelenting combat.",https://placehold.co/600x400
