squad_id,line,name,m,ws,bs,s,t,w,a,ld,sv,cost,cost_description,models_per_unit,cost_including_wargear,base_size,base_size_descr
48,1,Mek Boss Buzzgob,"5""",3+,4+,5,5,6,4,8,4+,,,1,FALSE,40mm,Grot Oiler 25mm
49,1,Grot Tank,"6+D6""",6+,4+,4,5,4,2,6,3+,35,,3-7,FALSE,Use model,
49,2,Kommanda,"6+D6""",6+,4+,4,5,4,3,7,3+,35,,1,FALSE,Use model,
50,1,Grot Mega-tank,"6+D6""",5+,4+,6,6,11,4,7,3+,90,,1,FALSE,Use model,
51,1,Squiggoth,"10""",3+,5+,8,8,18,4,9,3+,150,,1,FALSE,Use model,
52,1,Meka-Dread,"8""",3+,4+,7,7,16,4,9,3+,165,,1,FALSE,Use model,
53,1,Lifta Wagon,"12""",5+,5+,8,7,16,6,7,4+,155,,1,FALSE,Use model,
54,1,Big Trakk,"14""",5+,5+,6,6,12,4,6,4+,85,,1,FALSE,Use model,
55,1,Kannonwagon,"12""",5+,5+,8,7,16,6,7,3+,150,,1,FALSE,Use model,
56,1,Kill Tank,"12""",4+,5+,8,8,24,8,8,3+,275,,1,FALSE,Use model,
57,1,Chinork Warkopta,"16""",3+,5+,6,6,10,3,6,4+,100,,1,FALSE,120 x 92mm flying base,
58,1,Kustom Stompa,"10""",3+,5+,10,8,40,6,8,3+,675,,1,FALSE,Use model,
59,1,Gargantuan Squiggoth,"10""",3+,5+,12,8,36,8,9,3+,420,,1,FALSE,Use model,
60,1,Captain,"6""",2+,2+,4,4,5,4,9,3+,85,,1,FALSE,32mm,
61,1,Captain in Terminator Armour,"5""",2+,2+,4,4,6,4,9,2+,100,,1,FALSE,40mm,
63,1,Captain in Gravis Armour,"5""",2+,2+,4,5,7,5,9,3+,105,,1,FALSE,40mm,
64,1,Captain on Bike,"14""",2+,2+,4,5,6,4,9,3+,100,,1,FALSE,75 x 25mm,
65,1,Librarian,"6""",3+,3+,4,4,4,3,9,3+,80,,1,FALSE,32mm,
66,1,Librarian in Terminator Armour,"5""",3+,3+,4,4,5,3,9,2+,95,,1,FALSE,40mm,
67,1,Librarian on Bike,"14""",3+,3+,4,5,5,3,9,3+,119,,1,FALSE,75 x 25mm,
68,1,Techmarine,"6""",3+,2+,4,4,4,3,8,2+,70,,1,FALSE,32mm,
69,1,Servitor,"5""",5+,5+,3,3,1,1,6,4+,,,4,FALSE,25mm,
70,1,Techmarine on Bike,"14""",3+,2+,4,5,5,3,8,2+,70,,1,FALSE,75 x 25mm,
71,1,Chaplain,"6""",2+,3+,4,4,4,3,9,3+,70,,1,FALSE,32mm,
72,1,Chaplain in Terminator Armour,"5""",2+,3+,4,4,5,3,9,2+,85,,1,FALSE,40mm,
73,1,Chaplain on Bike,"14""",2+,3+,4,5,5,3,9,3+,95,,1,FALSE,75 x 25mm,
74,1,Apothecary,"6""",3+,3+,4,4,4,3,8,3+,65,,1,FALSE,32mm,
75,1,Apothecary on Bike,"14""",3+,3+,4,5,5,3,8,3+,80,,1,FALSE,75 x 25mm,
76,1,Primaris Lieutenant,"6""",2+,2+,4,4,5,4,8,3+,65,,1,FALSE,40mm,
77,1,Company Ancient,"6""",3+,3+,4,4,4,3,8,3+,65,,1,FALSE,32mm,
78,1,Company Ancient on Bike,"14""",3+,3+,4,5,5,3,8,3+,88,,1,FALSE,75 x 25mm,
79,1,Primaris Ancient,"6""",3+,3+,4,4,5,4,8,3+,70,,1,FALSE,40mm,
80,1,Company Champion,"6""",2+,3+,4,4,4,4,8,3+,50,,1,FALSE,32mm,
81,1,Company Champion on Bike,"14""",2+,3+,4,5,5,4,8,3+,80,,1,FALSE,75 x 25mm,
82,1,Company Veteran,"6""",3+,3+,4,4,2,2,8,3+,20,,1-4,FALSE,32mm,
82,2,Company Veteran Sergeant,"6""",3+,3+,4,4,2,3,9,3+,20,,1,FALSE,32mm,
83,1,Space Marine Veteran Biker,"14""",3+,3+,4,5,2,2,8,3+,34,,1-4,FALSE,75 x 25mm,
83,2,Veteran Biker Sergeant,"14""",3+,3+,4,5,2,3,9,3+,34,,1,FALSE,75 x 25mm,
84,1,Space Marine,"6""",3+,3+,4,4,2,1,7,3+,18,,4-9,FALSE,32mm,
84,2,Space Marine Sergeant,"6""",3+,3+,4,4,2,2,8,3+,18,,1,FALSE,32mm,
85,1,Scout,"6""",3+,3+,4,4,1,1,7,4+,12,,4-9,FALSE,25mm,
85,2,Scout Sergeant,"6""",3+,3+,4,4,1,2,8,4+,12,,1,FALSE,25mm,
86,1,Intercessor,"6""",3+,3+,4,4,2,2,7,3+,18,,4-9,FALSE,32mm,
86,2,Intercessor Sergeant,"6""",3+,3+,4,4,2,3,8,3+,18,,1,FALSE,32mm,
87,1,Imperial Space Marine,"6""",3+,3+,4,4,4,3,8,3+,60,,1,FALSE,32mm,
88,1,Honour Guard,"6""",3+,3+,4,4,2,2,9,2+,,,2,FALSE,32mm,
89,1,Chapter Ancient,"6""",3+,3+,4,4,4,3,9,2+,90,,1,FALSE,32mm,
90,1,Chapter Champion,"6""",2+,3+,4,4,4,5,9,2+,65,,1,FALSE,32mm,
91,1,Assault Centurion,"5""",3+,3+,5,5,4,3,7,2+,60,,2-5,FALSE,50mm,
91,2,Assault Centurion Sergeant,"5""",3+,3+,5,5,4,4,8,2+,60,,1,FALSE,50mm,
92,1,Sternguard Veteran,"6""",3+,3+,4,4,2,2,8,3+,20,,4-9,FALSE,32mm,
92,2,Sternguard Veteran Sergeant,"6""",3+,3+,4,4,2,3,9,3+,20,,1,FALSE,32mm,
93,1,Vanguard Veteran,"6""",3+,3+,4,4,2,2,8,3+,20,,4-9,FALSE,32mm,
93,2,Vanguard Veteran Sergeant,"6""",3+,3+,4,4,2,3,9,3+,20,,1,FALSE,32mm,
94,1,Dreadnought,"6""",3+,3+,6,7,8,4,8,3+,120,,1,FALSE,60mm,
95,1,Venerable Dreadnought,"6""",2+,2+,6,7,8,4,8,3+,135,,1,FALSE,60mm,
96,1,Contemptor Dreadnought,"8""",3+,3+,7,7,9,4,8,3+,140,,1,FALSE,60mm,
97,1,Ironclad Dreadnought,"6""",3+,3+,6,8,8,4,8,3+,135,,1,FALSE,60mm,
98,1,Terminator,"5""",3+,3+,4,4,3,2,8,2+,33,,4-9,FALSE,40mm,
98,2,Terminator Sergeant,"5""",3+,3+,4,4,3,3,9,2+,33,,1,FALSE,40mm,
99,1,Assault Terminator,"5""",3+,3+,4,4,3,2,8,2+,33,,4-9,FALSE,40mm,
99,2,Assault Terminator Sergeant,"5""",3+,3+,4,4,3,3,9,2+,33,,1,FALSE,40mm,
102,1,Assault Marine,"6""",3+,3+,4,4,2,1,7,3+,18,,4-9,FALSE,32mm,
102,2,Assault Marine Sergeant,"6""",3+,3+,4,4,2,2,8,3+,18,,1,FALSE,32mm,
103,1,Inceptor,"10""",3+,3+,4,5,3,2,7,3+,40,,2-5,FALSE,40mm,
103,2,Inceptor Sergeant,"10""",3+,3+,4,5,3,3,8,3+,40,,1,FALSE,40mm,
104,1,Scout Biker,"16""",3+,3+,4,5,2,1,7,4+,30,,2-8,FALSE,75 x 25mm,
104,2,Scout Biker Sergeant,"16""",3+,3+,4,5,2,2,8,4+,30,,1,FALSE,75 x 25mm,
105,1,Space Marine Biker,"14""",3+,3+,4,5,3,1,7,3+,30,,2-15,FALSE,75 x 25mm,
105,2,Space Marine Biker,"14""",3+,3+,4,5,3,1,7,3+,30,,2-7,FALSE,75 x 25mm,
105,3,Biker Sergeant,"14""",3+,3+,4,5,3,2,8,3+,30,,1,FALSE,75 x 25mm,
105,4,Attack Bike,"14""",3+,3+,4,5,4,2,7,3+,30,,0-1,FALSE,Use model,
106,1,Attack Bike,"14""",3+,3+,4,5,4,2,7,3+,50,,1-3,FALSE,Use model,
107,1,Land Speeder Storm,"18""",3+,3+,4,6,7,2,7,4+,50,,1,FALSE,60mm flying base,
108,1,Land Speeder,"18""",3+,3+,4,6,6,2,7,3+,60,,1-3,FALSE,60mm flying base,
109,1,Rhino,"12""",6+,3+,6,7,10,3,8,3+,80,,1,FALSE,Use model,
110,1,Rhino Primaris,"12""",6+,3+,6,7,10,3,8,3+,52,,1,FALSE,Use model,
111,1,Razorback,"12""",6+,3+,6,7,10,3,8,3+,100,,1,FALSE,Use model,
112,1,Drop Pod,-,-,3+,6,6,8,-,8,3+,70,,1,FALSE,Use model,
113,1,Stormhawk Interceptor,"20-60""",6+,3+,6,7,10,3,8,3+,185,,1,FALSE,120 x 92mm flying base,
114,1,Stormtalon Gunship,"20-50""",6+,3+,6,6,10,3,8,3+,165,,1,FALSE,120 x 92mm flying base,
115,1,Devastator Marine,"6""",3+,3+,4,4,2,1,7,3+,23,,4-9,FALSE,32mm,
115,2,Devastator Marine Sergeant,"6""",3+,3+,4,4,2,2,8,3+,23,,1,FALSE,32mm,
116,1,Devastator Centurion,"5""",3+,3+,5,5,4,3,7,2+,70,,2-5,FALSE,50mm,
116,2,Devastator Centurion Sergeant,"5""",3+,3+,5,5,4,4,8,2+,70,,1,FALSE,50mm,
117,1,Hellblaster,"6""",3+,3+,4,4,2,2,7,3+,30,,4-9,FALSE,32mm,
117,2,Hellblaster Sergeant,"6""",3+,3+,4,4,2,3,8,3+,30,,1,FALSE,32mm,
118,1,Thunderfire Cannon,"3""",6+,2+,3,6,4,1,8,2+,,,1,FALSE,Use model,
118,2,Techmarine Gunner,"6""",3+,2+,4,4,4,3,8,2+,,,1,FALSE,25mm,
119,1,Predator Destructor,"12""",6+,3+,6,7,11,3,8,3+,130,,1,FALSE,Use model,
120,1,Whirlwind,"12""",6+,3+,6,7,11,3,8,3+,125,,1,FALSE,Use model,
121,1,Vindicator,"10""",6+,3+,6,8,11,3,8,3+,120,,1,FALSE,Use model,
122,1,Hunter,"10""",6+,3+,6,8,11,3,8,3+,110,,1,FALSE,Use model,
123,1,Stalker,"10""",6+,3+,6,8,11,3,8,3+,115,,1,FALSE,Use model,
124,1,Stormraven Gunship,"20-45""",6+,3+,8,7,14,6,9,3+,260,,1,FALSE,120 x 92mm flying base,
125,1,Land Raider,"10""",6+,3+,8,8,16,6,9,2+,245,,1,FALSE,Use model,
126,1,Land Raider Crusader,"10""",6+,3+,8,8,16,6,9,2+,245,,1,FALSE,Use model,
127,1,Land Raider Redeemer,"10""",6+,3+,8,8,16,6,9,2+,245,,1,FALSE,Use model,
128,1,Land Raider Excelsior,"10""",6+,3+,8,8,16,6,9,2+,200,,1,FALSE,Use model,
129,1,Roboute Guilliman,"8""",2+,2+,6,6,9,6,10,2+,300,,1,FALSE,60mm,
130,1,Captain Lysander,"5""",2+,2+,4,4,6,4,9,2+,120,,1,FALSE,40mm,
131,1,Pedro Kantor,"6""",2+,2+,4,4,6,5,9,2+,130,,1,FALSE,25mm,
132,1,Marneus Calgar,"6""",2+,2+,4,5,8,6,9,2+,160,,1,FALSE,50mm,
133,1,Marneus Calgar in Artificer Armour,"6""",2+,2+,4,4,6,5,9,2+,235,,1,TRUE,50mm,
134,1,Captain Sicarius,"6""",2+,2+,4,4,5,4,9,2+,105,,1,FALSE,25mm,
135,1,Chief Librarian Tigurius,"6""",3+,3+,4,4,5,4,9,3+,120,,1,FALSE,40mm,
136,1,Chaplain Cassius,"6""",2+,3+,4,5,4,3,9,3+,85,,1,FALSE,32mm,
137,1,Sergeant Telion,"7""",3+,2+,4,4,4,2,8,4+,50,,1,FALSE,25mm,
138,1,Sergeant Chronus,"6""",3+,2+,4,4,4,2,8,3+,35,,1,FALSE,25mm,
139,1,Tyrannic War Veteran,"6""",3+,3+,4,4,2,2,8,3+,17,,3-9,FALSE,25mm,
139,2,Veteran Sergeant,"6""",3+,3+,4,4,2,3,9,3+,17,,1,FALSE,25mm,
140,1,Terminus Ultra,"10""",6+,3+,8,8,16,6,9,2+,250,,1,FALSE,Use model,
141,1,High Marshal Helbrecht,"6""",2+,2+,4,4,8,6,9,2+,140,,1,FALSE,60mm,
142,1,The Emperor’s Champion,"6""",2+,3+,4,4,5,5,9,2+,90,,1,FALSE,40mm,
143,1,Chaplain Grimaldus,"6""",2+,3+,4,4,5,4,9,3+,120,,1,FALSE,40mm,
143,2,Cenobyte Servitor,"6""",4+,4+,3,4,1,1,6,4+,,,3,FALSE,28mm,
145,1,Initiate,"6""",3+,3+,4,4,2,1,7,3+,18,,4-9,FALSE,32mm,
145,2,Neophyte,"6""",3+,3+,4,4,1,1,6,4+,13,,0-10,FALSE,25mm,
145,3,Sword Brother,"6""",3+,3+,4,4,2,2,8,3+,18,,1,FALSE,32mm,
146,1,Kayvaan Shrike,"14""",2+,2+,4,4,6,6,9,3+,120,,1,FALSE,40mm,
147,1,Vulkan He’stan,"6""",2+,2+,4,4,5,4,9,2+,110,,1,FALSE,25mm,
148,1,Kor’sarro Khan,"6""",2+,2+,4,4,6,5,9,3+,100,,1,FALSE,40mm,
149,1,Kor’sarro Khan on Moondrakkan,"14""",2+,2+,4,5,6,4,9,3+,132,,1,TRUE,75 x 25mm,
150,1,Legionnaire,"5""",3+,3+,4,4,1,2,10,3+,25,,4-9,FALSE,32mm,
150,2,Legionnaire Sergeant,"5""",3+,3+,4,4,1,3,10,3+,25,,1,FALSE,32mm,
373,1,Kaldor Draigo,"5""",2+,2+,4,4,7,6,9,2+,165,,1,FALSE,40mm,
374,1,Grand Master Voldus,"5""",2+,2+,4,4,6,6,9,2+,135,,1,FALSE,40mm,
375,1,Grand Master,"5""",2+,2+,4,4,6,6,9,2+,120,,1,FALSE,40mm,
376,1,Brother-Captain,"5""",2+,2+,4,4,6,5,9,2+,100,,1,FALSE,40mm,
377,1,Brother-Captain Stern,"5""",2+,2+,4,4,6,6,9,2+,110,,1,FALSE,40mm,
378,1,Brotherhood Ancient,"5""",3+,3+,4,4,5,4,8,2+,90,,1,FALSE,40mm,
379,1,Brotherhood Champion,"6""",2+,2+,4,4,4,5,8,2+,60,,1,FALSE,32mm,
380,1,Castellan Crowe,"6""",2+,2+,4,4,5,6,8,2+,85,,1,FALSE,40mm,
381,1,Grey Knight,"6""",3+,3+,4,4,2,3,7,3+,20,,4-9,FALSE,32mm,
381,2,Justicar,"6""",3+,3+,4,4,2,4,8,3+,20,,1,FALSE,32mm,
382,1,Brotherhood Terminator,"5""",3+,3+,4,4,3,3,7,2+,35,,4-9,FALSE,40mm,
382,2,Terminator Justicar,"5""",3+,3+,4,4,3,4,8,2+,35,,1,FALSE,40mm,
383,1,Purifier,"6""",3+,3+,4,4,2,3,8,3+,23,,4-9,FALSE,32mm,
383,2,Knight of the Flame,"6""",3+,3+,4,4,2,4,9,3+,23,,1,FALSE,32mm,
384,1,Paladin,"5""",2+,3+,4,4,3,4,8,2+,45,,2-9,FALSE,40mm,
384,2,Paragon,"5""",2+,3+,4,4,3,5,9,2+,45,,1,FALSE,40mm,
385,1,Paladin Ancient,"5""",2+,3+,4,4,5,5,9,2+,100,,1,FALSE,40mm,
386,1,Brotherhood Apothecary,"5""",3+,3+,4,4,5,5,8,2+,90,,1,FALSE,40mm,
387,1,Interceptor,"12""",3+,3+,4,4,2,3,7,3+,24,,4-9,FALSE,32mm,
387,2,Interceptor Justicar,"12""",3+,3+,4,4,2,4,8,3+,24,,1,FALSE,32mm,
388,1,Purgator,"6""",3+,3+,4,4,2,3,7,3+,22,,4-9,FALSE,32mm,
388,2,Purgator Justicar,"6""",3+,3+,4,4,2,4,8,3+,22,,1,FALSE,32mm,
389,1,Nemesis Dreadknight,"9""",3+,3+,6,6,13,5,8,2+,130,,1,FALSE,120 x 92mm,
390,1,Dreadnought,"6""",3+,3+,6,7,8,5,8,3+,130,,1,FALSE,60mm,
391,1,Land Raider,"10""",6+,3+,8,8,16,6,9,2+,245,,1,FALSE,Use model,
392,1,Land Raider Crusader,"10""",6+,3+,8,8,16,6,9,2+,245,,1,FALSE,Use model,
393,1,Land Raider Redeemer,"10""",6+,3+,8,8,16,6,9,2+,245,,1,FALSE,Use model,
395,1,Razorback,"12""",6+,3+,6,7,10,3,8,3+,100,,1,FALSE,Use model,
396,1,Rhino,"12""",6+,3+,6,7,10,3,8,3+,80,,1,FALSE,Use model,
397,1,Servitor,"5""",5+,5+,3,3,1,1,6,4+,,,4,FALSE,25mm,
398,1,Stormraven Gunship,"20-45""",6+,3+,8,7,14,6,9,3+,260,,1,FALSE,120 x 92mm flying base,
399,1,Brotherhood Techmarine,"6""",3+,2+,4,4,4,4,8,2+,70,,1,FALSE,32mm,
400,1,Venerable Dreadnought,"6""",2+,2+,6,7,8,5,8,3+,145,,1,FALSE,60mm,
402,1,Commander in Coldstar Battlesuit,"14""",3+,2+,5,5,7,4,10,3+,120,,1,FALSE,60mm,
403,1,Gun Drone,"10""",5+,5+,3,4,1,1,6,4+,10,,0-12,FALSE,32mm flying base,
403,2,Marker Drone,"10""",5+,5+,3,4,1,1,6,4+,10,,0-12,FALSE,32mm flying base,
403,3,Shield Drone,"10""",5+,5+,3,4,2,1,6,4+,15,,0-12,FALSE,32mm flying base,
404,1,Ethereal,"6""",3+,4+,3,3,4,3,10,5+,90,,1,FALSE,25mm,40mm on hover drone
405,1,Cadre Fireblade,"6""",4+,3+,3,3,4,3,8,4+,50,,1,FALSE,25mm,
406,1,Commander Farsight,"10""",2+,2+,5,5,7,5,10,3+,130,,1,FALSE,40mm,
407,1,Commander Shadowsun,"10""",3+,2+,5,5,7,4,10,3+,150,,1,FALSE,50mm,
407,2,Advanced Guardian Drone,"10""",5+,5+,3,4,1,1,6,4+,,,1,FALSE,32mm flying base,
407,3,Command-link Drone,"10""",5+,5+,3,4,1,1,6,4+,,,1,FALSE,32mm flying base,
408,1,Aun’Shi,"6""",2+,4+,3,3,5,5,10,7+,105,,1,FALSE,25mm,
409,1,Aun’Va,"6""",6+,4+,2,3,6,1,10,5+,,,1,FALSE,40mm,
409,2,Ethereal Guard,"6""",3+,3+,3,3,2,3,10,5+,,,2,FALSE,25mm,
410,1,Darkstrider,"7""",3+,2+,3,3,5,3,9,4+,60,,1,FALSE,32mm,
411,1,Fire Warrior,"6""",5+,4+,3,3,1,1,7,4+,,,9,FALSE,25mm,
411,2,Fire Warrior Shas’ui,"6""",5+,4+,3,3,1,2,8,4+,,,1,FALSE,25mm,
411,3,Support Turret,-,-,4+,3,3,1,-,4,4+,+10,,0-1,FALSE,40mm,
412,1,Breacher Fire Warrior,"6""",5+,4+,3,3,1,1,7,4+,,,9,FALSE,25mm,
412,2,Breacher Fire Warrior Shas’ui,"6""",5+,4+,3,3,1,2,8,4+,,,1,FALSE,25mm,
412,3,Support Turret,-,-,4+,3,3,1,-,4,4+,+10,,0-1,FALSE,40mm,
413,1,Kroot,"7""",3+,4+,4,3,1,2,6,6+,7,,10-20,FALSE,25mm,
414,1,Krootox Rider,"7""",3+,4+,6,5,4,4,6,6+,25,,1-3,FALSE,40mm,
415,1,Kroot Hound,"12""",3+,-,3,3,1,3,5,6+,6,,4-12,FALSE,25mm,
416,1,Kroot Shaper,"7""",2+,4+,4,3,4,3,8,6+,25,,1,FALSE,25mm,
417,1,Stealth Shas’ui,"8""",5+,4+,4,4,2,2,8,3+,25,,2-5,FALSE,32mm,
417,2,Stealth Shas’vre,"8""",5+,4+,4,4,2,3,9,3+,25,,1,FALSE,32mm,
418,1,Crisis Shas’ui,"10""",5+,4+,5,5,4,3,8,3+,45,,2-5,FALSE,50mm,
418,2,Crisis Shas’vre,"10""",5+,4+,5,5,4,4,9,3+,45,,1,FALSE,50mm,
419,1,Crisis Bodyguard Shas’ui,"10""",5+,4+,5,5,4,3,8,3+,45,,1-5,FALSE,50mm,
419,2,Crisis Bodyguard Shas’vre,"10""",5+,4+,5,5,4,4,9,3+,45,,1,FALSE,50mm,
420,1,Ghostkeel Shas’vre,"12""",5+,4+,6,7,12,3,9,3+,,,1,FALSE,105 x 70mm,
420,2,Stealth Drone,"10""",5+,5+,3,4,1,1,6,4+,,,2,TRUE,32mm flying base,
421,1,Riptide Shas’vre,"12""",5+,4+,6,7,14,6,9,2+,240,,1,FALSE,120 x 92mm,
422,1,Pathfinder,"7""",5+,4+,3,3,1,1,7,5+,,,9,FALSE,25mm,
422,2,Pathfinder Shas’ui,"7""",5+,4+,3,3,1,2,8,5+,,,1,FALSE,25mm,
423,1,Piranha,"16""",6+,4+,4,6,7,2,7,4+,60,,1-5,FALSE,60mm flying base,
423,2,Gun Drone,"10""",5+,5+,3,4,1,1,6,4+,,,2,FALSE,32mm flying base,
424,1,Devilfish,"12""",6+,4+,6,7,13,3,8,3+,95,,1,FALSE,60mm flying base,
424,2,Gun Drone,"10""",5+,5+,3,4,1,1,6,4+,,,2,FALSE,32mm flying base,
425,1,Razorshark Strike Fighter,"20-50""",6+,4+,6,7,12,3,8,4+,155,,1,FALSE,120 x 92mm flying base,
426,1,Sun Shark Bomber,"20-50""",6+,4+,6,6,12,3,8,4+,165,,1,FALSE,120 x 92mm flying base,
426,2,Interceptor Drone,"20""",5+,5+,3,4,1,1,6,4+,,,2,FALSE,32mm flying base,
427,1,Vespid Stingwing,"14""",4+,4+,4,4,1,1,5,4+,12,,4-12,FALSE,25mm,
427,2,Vespid Strain Leader,"14""",4+,4+,4,4,1,2,8,4+,12,,1,FALSE,25mm,
428,1,Firesight Marksman,"6""",5+,3+,3,3,3,2,8,4+,,,1,FALSE,40mm,
428,2,Sniper Drone,"10""",5+,5+,3,4,1,1,6,4+,,,3,FALSE,32mm flying base,
430,1,Sky Ray Gunship,"12""",6+,4+,6,7,14,3,8,3+,135,,1,FALSE,60mm flying base,
430,2,Gun Drone,"10""",5+,5+,3,4,1,1,6,4+,,,2,FALSE,32mm flying base,
